"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"HEIGHT";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PURCHASE-URL";"SNAPEDA_LINK";
"6";"";"TAC_SWITCHPTH";"TACTILE-PTH";"S3, S4, S5, S6, S7, S8";"Momentary Switch";"";"";"";"5";"";"";"";"";"";"";"";"";"";
"1";"100nF";"C0204";"0204";"C4";"smallest SMD capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-EU_M0805";"M0805";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C0204";"0204";"C3";"smallest SMD capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"16MHz";"RESONATOR-MURATACSTCR_G";"RESONATOR_MURATA3";"Q1";"Murata ceramic Resonator "ceralock" CSTCE series";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"C0204";"0204";"C6";"smallest SMD capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22";"R-EU_M0805";"M0805";"R11, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"220";"R-EU_M0805";"M0805";"R2, R6, R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k";"R-EU_M0805";"M0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4,7uF";"C0204";"0204";"C2, C5";"smallest SMD capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"5,1k";"R-EU_M0805";"M0805";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"500mA";"MF-R055-5,1";"MF-5,1";"F1";"MultiFuse Polyfuse Overcurrent Protectors";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"QFP80P1200X1200X120-44N";"U1";"Check availability";"In Stock";"https://www.snapeda.com/parts/ATMEGA32U4-AU/Microchip+Technology/view-part/?ref=eda";"                                                      Microcontroller, USB controller 16/32K of ISP flash, TQFP44 industrial, 8-bit | Microchip Technology Inc. ATMEGA32U4-AU                                              ";"";"Microchip Technology";"ATMEGA32U4-AU";"";"";"";"TQFP-44 Microchip";"None";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4247446&manufacturer=Microchip Technology&part_name=ATMEGA32U4-AU&search_term=atmega32u4";"https://www.snapeda.com/parts/ATMEGA32U4-AU/Microchip+Technology/view-part/?ref=snap";
"1";"B2B-PH-SM4-TB";"B2B-PH-SM4-TB";"JST_B2B-PH-SM4-TB";"J2";"Check availability";"In Stock";"https://www.snapeda.com/parts/B2B-PH-SM4-TB/JST/view-part/?ref=eda";"                                                      Connector Header Surface Mount 2 position 0.079 (2.00mm)                                              ";"5";"JST";"B2B-PH-SM4-TB";"";"";"";"NON STANDARD-2 JST";"None";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4817258&manufacturer=JST&part_name=B2B-PH-SM4-TB&search_term=jst ph 2mm";"https://www.snapeda.com/parts/B2B-PH-SM4-TB/JST/view-part/?ref=snap";
"1";"DTS-6";"DTS-6";"DTS-6";"S2";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";
"1";"DX07S016JA1R1500";"DX07S016JA1R1500";"JAE_DX07S016JA1R1500";"J3";"Check availability";"In Stock";"https://www.snapeda.com/parts/DX07S016JA1R1500/JAE+Electronics/view-part/?ref=eda";"                                                      USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle";" Through Hole                                              ";"4";"JAE Electronics";"DX07S016JA1R1500";"";"";"";"None";"None";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4551013&manufacturer=JAE Electronics&part_name=DX07S016JA1R1500&search_term=jae, gewinkelt dx usb-steckverbinder buchse usb typ c 1, oberfläche usb 2.0";
"1";"Ein-Aus";"255SB";"255SB";"S1";"SLIDING SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"F/HMB";"F/HMB";"F/HMB";"SG1";"BUZZER Source: Buerklin";"";"";"";"8";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"F50360";"F50360";"F50360";"LED4";"Full color Z-Power LED RGB P5-II Series";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"HLMP6";"HLMP6";"HLMP6";"LED1";"LED";"";"";"";"4";"AGILENT TECHNOLOGIES";"";"HLMP-6500";"1652490";"40K0088";"";"";"";"";
"1";"ICSP";"PINHD-2X3";"2X03";"JP1";"PIN HEADER";"";"";"";"5";"";"";"";"";"";"";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U3";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SSD1309";"PINHD-1X20";"1X20";"128X64";"PIN HEADER";"";"";"";"8";"";"";"";"";"";"";"";"";"";
"1";"WE-TVS_SOT23-3L";"WE-TVS_SOT23-3L";"WE-TVS_SOT23-3L";"Z1";"TVS Diode Array WE-TVS";"";"";"";"";"";"";"";"";"";"";"";"";"";
